cidade,semana,tmedia,tmax,tmin,chuva,mes,ano
Campina Grande,1992-12-27T00:00:00Z,26.133333333333333,30.4,20.7,0,12,1992
Campina Grande,1993-01-03T00:00:00Z,26.11904761904762,32.4,19.3,0,1,1993
Campina Grande,1993-01-10T00:00:00Z,25.766666666666666,32.2,19.7,0,1,1993
Campina Grande,1993-01-31T00:00:00Z,25.74,32,19.9,0.4,1,1993
Campina Grande,1993-02-07T00:00:00Z,26.314285714285713,32.7,19.6,0.3,2,1993
Campina Grande,1993-02-14T00:00:00Z,26.285714285714285,32.7,20,0,2,1993
Campina Grande,1993-02-21T00:00:00Z,26.47142857142857,32.3,20.4,4.9,2,1993
Campina Grande,1993-02-28T00:00:00Z,26.566666666666666,32.3,21.2,0,2,1993
Campina Grande,1993-10-31T00:00:00Z,25.766666666666666,32.1,19,0,10,1993
Campina Grande,1993-11-07T00:00:00Z,25.228571428571428,31.2,19,6.1,11,1993
Campina Grande,1993-11-14T00:00:00Z,25.723809523809525,32.2,19.3,0.4,11,1993
Campina Grande,1993-11-21T00:00:00Z,25.590476190476192,31.7,19.9,1.2,11,1993
Campina Grande,1993-11-28T00:00:00Z,26.28571428571429,32.7,19.9,0,11,1993
Campina Grande,1993-12-05T00:00:00Z,25.590476190476192,31.5,20,1.6,12,1993
Campina Grande,1993-12-12T00:00:00Z,26.21904761904762,31.9,20,0,12,1993
Campina Grande,1993-12-19T00:00:00Z,26.41904761904762,32.4,20,1.8,12,1993
Campina Grande,1993-12-26T00:00:00Z,26.67142857142857,32.6,20.2,0.8,12,1993
Campina Grande,1994-01-02T00:00:00Z,25.85238095238095,32.3,20.9,8.299999999999999,1,1994
Campina Grande,1994-01-09T00:00:00Z,26.238095238095237,32.4,20.5,2.4,1,1994
Campina Grande,1994-01-16T00:00:00Z,26.304761904761904,32.9,20.8,6.2,1,1994
Campina Grande,1994-01-23T00:00:00Z,26.238095238095237,32.3,20.8,1.3,1,1994
Campina Grande,1994-01-30T00:00:00Z,26.65714285714286,33.3,20.6,0.3,1,1994
Campina Grande,1994-02-06T00:00:00Z,26.085714285714285,31.9,20.5,2.4,2,1994
Campina Grande,1994-02-13T00:00:00Z,25.67142857142857,32.2,21,14,2,1994
Campina Grande,1994-02-20T00:00:00Z,26.504761904761907,33,20.7,0,2,1994
Campina Grande,1994-02-27T00:00:00Z,26.17142857142857,31.6,21.2,16.5,2,1994
Campina Grande,1994-03-06T00:00:00Z,27.557142857142857,33.8,20.3,0,3,1994
